name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
imperfect for you - acoustic,Ariana Grande,0.715,https://api.spotify.com/v1/audio-analysis/0blfewz7XXrjsZd5WnHwgE,0.561,183133,0.334,0blfewz7XXrjsZd5WnHwgE,0.0,4,0.159,-9.06,1,0.0265,150.114,3,https://api.spotify.com/v1/tracks/0blfewz7XXrjsZd5WnHwgE,audio_features,spotify:track:0blfewz7XXrjsZd5WnHwgE,0.308
true story - a cappella,Ariana Grande,0.919,https://api.spotify.com/v1/audio-analysis/4RSoXPyBHKolShYA6FhvfP,0.631,162088,0.29,4RSoXPyBHKolShYA6FhvfP,0.0,9,0.09,-8.946,0,0.0507,69.313,3,https://api.spotify.com/v1/tracks/4RSoXPyBHKolShYA6FhvfP,audio_features,spotify:track:4RSoXPyBHKolShYA6FhvfP,0.619
"yes, and? (with Mariah Carey) - Remix",Ariana Grande,0.0926,https://api.spotify.com/v1/audio-analysis/1UjPANunXLp0G9hbQNyPh9,0.74,214994,0.776,1UjPANunXLp0G9hbQNyPh9,1.12e-06,8,0.0878,-5.335,1,0.0592,118.982,4,https://api.spotify.com/v1/tracks/1UjPANunXLp0G9hbQNyPh9,audio_features,spotify:track:1UjPANunXLp0G9hbQNyPh9,0.796
intro (end of the world),Ariana Grande,0.671,https://api.spotify.com/v1/audio-analysis/2o1pb13quMReXZqE7jWsgq,0.501,92400,0.373,2o1pb13quMReXZqE7jWsgq,0.0,10,0.177,-9.488,1,0.0493,84.682,4,https://api.spotify.com/v1/tracks/2o1pb13quMReXZqE7jWsgq,audio_features,spotify:track:2o1pb13quMReXZqE7jWsgq,0.38
bye,Ariana Grande,0.217,https://api.spotify.com/v1/audio-analysis/1Rweq7vNjK4kZBbGrmxQsl,0.638,164927,0.647,1Rweq7vNjK4kZBbGrmxQsl,0.0,2,0.156,-4.834,0,0.028,110.003,4,https://api.spotify.com/v1/tracks/1Rweq7vNjK4kZBbGrmxQsl,audio_features,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,0.51
don't wanna break up again,Ariana Grande,0.456,https://api.spotify.com/v1/audio-analysis/0o3ua5ufFK7nfRzbDUNoGA,0.41,174006,0.726,0o3ua5ufFK7nfRzbDUNoGA,0.0,9,0.11,-5.204,0,0.33,193.956,4,https://api.spotify.com/v1/tracks/0o3ua5ufFK7nfRzbDUNoGA,audio_features,spotify:track:0o3ua5ufFK7nfRzbDUNoGA,0.556
Saturn Returns Interlude,Ariana Grande,0.892,https://api.spotify.com/v1/audio-analysis/13jRSCLoWbCoU1XEdJRbgn,0.513,42167,0.366,13jRSCLoWbCoU1XEdJRbgn,0.000255,9,0.148,-13.363,1,0.117,124.44,5,https://api.spotify.com/v1/tracks/13jRSCLoWbCoU1XEdJRbgn,audio_features,spotify:track:13jRSCLoWbCoU1XEdJRbgn,0.938
eternal sunshine,Ariana Grande,0.537,https://api.spotify.com/v1/audio-analysis/3RwWW7KeVhHGayYJgUL5eZ,0.658,210200,0.505,3RwWW7KeVhHGayYJgUL5eZ,0.0,9,0.113,-6.947,1,0.105,159.947,4,https://api.spotify.com/v1/tracks/3RwWW7KeVhHGayYJgUL5eZ,audio_features,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,0.331
supernatural,Ariana Grande,0.0971,https://api.spotify.com/v1/audio-analysis/142PiXzA84lmEw2RstFHFa,0.57,163382,0.729,142PiXzA84lmEw2RstFHFa,0.0,8,0.128,-6.839,1,0.104,76.56,4,https://api.spotify.com/v1/tracks/142PiXzA84lmEw2RstFHFa,audio_features,spotify:track:142PiXzA84lmEw2RstFHFa,0.519
true story,Ariana Grande,0.478,https://api.spotify.com/v1/audio-analysis/14kyXBpg91RVq8bNRDS1q2,0.725,163278,0.526,14kyXBpg91RVq8bNRDS1q2,1.63e-05,9,0.312,-6.179,0,0.0629,137.962,4,https://api.spotify.com/v1/tracks/14kyXBpg91RVq8bNRDS1q2,audio_features,spotify:track:14kyXBpg91RVq8bNRDS1q2,0.377
the boy is mine,Ariana Grande,0.149,https://api.spotify.com/v1/audio-analysis/0Lmbke3KNVFXtoH2mMSHCw,0.796,173640,0.623,0Lmbke3KNVFXtoH2mMSHCw,0.0,7,0.0746,-5.819,0,0.0522,98.003,4,https://api.spotify.com/v1/tracks/0Lmbke3KNVFXtoH2mMSHCw,audio_features,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,0.443
"yes, and?",Ariana Grande,0.194,https://api.spotify.com/v1/audio-analysis/5D34wRmbFS29AjtTOP2QJe,0.785,214994,0.766,5D34wRmbFS29AjtTOP2QJe,7.57e-05,1,0.107,-6.551,1,0.0503,119.029,4,https://api.spotify.com/v1/tracks/5D34wRmbFS29AjtTOP2QJe,audio_features,spotify:track:5D34wRmbFS29AjtTOP2QJe,0.804
we can't be friends (wait for your love),Ariana Grande,0.0657,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,0.645,228639,0.663,51ZQ1vr10ffzbwIjDCwqm4,3.18e-05,5,0.0751,-8.305,1,0.0447,115.83,4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,audio_features,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,0.287
i wish i hated you,Ariana Grande,0.855,https://api.spotify.com/v1/audio-analysis/5cQX9BexkPIEESTZijJhXg,0.577,153633,0.246,5cQX9BexkPIEESTZijJhXg,0.0,7,0.105,-9.169,1,0.0334,65.418,4,https://api.spotify.com/v1/tracks/5cQX9BexkPIEESTZijJhXg,audio_features,spotify:track:5cQX9BexkPIEESTZijJhXg,0.296
imperfect for you,Ariana Grande,0.505,https://api.spotify.com/v1/audio-analysis/6XXKB32Om6WuXg3uEWwTob,0.635,182567,0.389,6XXKB32Om6WuXg3uEWwTob,0.0,4,0.433,-7.413,1,0.0333,150.116,3,https://api.spotify.com/v1/tracks/6XXKB32Om6WuXg3uEWwTob,audio_features,spotify:track:6XXKB32Om6WuXg3uEWwTob,0.24
ordinary things (feat. Nonna),Ariana Grande,0.713,https://api.spotify.com/v1/audio-analysis/4mHM5d2fK3n8xgymjf92w2,0.7,168500,0.544,4mHM5d2fK3n8xgymjf92w2,0.0,6,0.319,-8.243,1,0.0729,114.971,4,https://api.spotify.com/v1/tracks/4mHM5d2fK3n8xgymjf92w2,audio_features,spotify:track:4mHM5d2fK3n8xgymjf92w2,0.29
Honeymoon Avenue,Ariana Grande,0.208,https://api.spotify.com/v1/audio-analysis/5UkqH9t76GxI48YHA0thsy,0.688,339735,0.611,5UkqH9t76GxI48YHA0thsy,0.0,11,0.337,-5.298,1,0.0423,125.015,4,https://api.spotify.com/v1/tracks/5UkqH9t76GxI48YHA0thsy,audio_features,spotify:track:5UkqH9t76GxI48YHA0thsy,0.478
Baby I,Ariana Grande,0.0208,https://api.spotify.com/v1/audio-analysis/6qT31f20CXWq0zkz4BME32,0.714,197603,0.775,6qT31f20CXWq0zkz4BME32,0.0,1,0.367,-3.743,1,0.0382,101.93,4,https://api.spotify.com/v1/tracks/6qT31f20CXWq0zkz4BME32,audio_features,spotify:track:6qT31f20CXWq0zkz4BME32,0.516
Right There (feat. Big Sean),Ariana Grande,0.138,https://api.spotify.com/v1/audio-analysis/5aKqhRdBmC5Qp2c3oek9ft,0.652,247082,0.836,5aKqhRdBmC5Qp2c3oek9ft,0.0,0,0.112,-3.3,1,0.101,77.974,4,https://api.spotify.com/v1/tracks/5aKqhRdBmC5Qp2c3oek9ft,audio_features,spotify:track:5aKqhRdBmC5Qp2c3oek9ft,0.593
Tattooed Heart,Ariana Grande,0.353,https://api.spotify.com/v1/audio-analysis/4HBDccZgvC769vqQ2QHjji,0.532,194707,0.514,4HBDccZgvC769vqQ2QHjji,0.0,7,0.119,-4.223,1,0.0268,71.974,4,https://api.spotify.com/v1/tracks/4HBDccZgvC769vqQ2QHjji,audio_features,spotify:track:4HBDccZgvC769vqQ2QHjji,0.297
Lovin' It,Ariana Grande,0.114,https://api.spotify.com/v1/audio-analysis/4EjLfjUNonstEf9ZED4gce,0.643,180695,0.81,4EjLfjUNonstEf9ZED4gce,0.0,1,0.179,-3.837,0,0.0415,94.008,4,https://api.spotify.com/v1/tracks/4EjLfjUNonstEf9ZED4gce,audio_features,spotify:track:4EjLfjUNonstEf9ZED4gce,0.411
Piano,Ariana Grande,0.172,https://api.spotify.com/v1/audio-analysis/1WPjEBaYjOh65gQF7EwwOp,0.733,234426,0.818,1WPjEBaYjOh65gQF7EwwOp,0.0,4,0.82,-4.239,1,0.0814,120.023,4,https://api.spotify.com/v1/tracks/1WPjEBaYjOh65gQF7EwwOp,audio_features,spotify:track:1WPjEBaYjOh65gQF7EwwOp,0.738
Daydreamin',Ariana Grande,0.267,https://api.spotify.com/v1/audio-analysis/2tQew7pG4IhgNGplOSNIj7,0.662,211287,0.653,2tQew7pG4IhgNGplOSNIj7,0.0,7,0.505,-6.058,1,0.034,114.008,3,https://api.spotify.com/v1/tracks/2tQew7pG4IhgNGplOSNIj7,audio_features,spotify:track:2tQew7pG4IhgNGplOSNIj7,0.259
The Way (feat. Mac Miller),Ariana Grande,0.295,https://api.spotify.com/v1/audio-analysis/1Onx2O64wzyA7ZzOsBBqBJ,0.654,227034,0.872,1Onx2O64wzyA7ZzOsBBqBJ,0.0,5,0.0955,-3.263,0,0.141,82.667,4,https://api.spotify.com/v1/tracks/1Onx2O64wzyA7ZzOsBBqBJ,audio_features,spotify:track:1Onx2O64wzyA7ZzOsBBqBJ,0.867
You’ll Never Know,Ariana Grande,0.0556,https://api.spotify.com/v1/audio-analysis/5HGvnxyYMsK0MWuvXCNjfG,0.763,214281,0.839,5HGvnxyYMsK0MWuvXCNjfG,0.0,6,0.0369,-3.834,1,0.0668,105.058,4,https://api.spotify.com/v1/tracks/5HGvnxyYMsK0MWuvXCNjfG,audio_features,spotify:track:5HGvnxyYMsK0MWuvXCNjfG,0.846
Almost Is Never Enough (with Nathan Sykes),Ariana Grande,0.828,https://api.spotify.com/v1/audio-analysis/1YGd0ZaBGQjOdApv3fpnow,0.414,327776,0.336,1YGd0ZaBGQjOdApv3fpnow,0.0,2,0.0728,-7.491,1,0.0364,121.64,3,https://api.spotify.com/v1/tracks/1YGd0ZaBGQjOdApv3fpnow,audio_features,spotify:track:1YGd0ZaBGQjOdApv3fpnow,0.331
Popular Song (MIKA & Ariana Grande),MIKA,0.133,https://api.spotify.com/v1/audio-analysis/4AzzUUIBICXrr5OYfs2u2C,0.666,200201,0.803,4AzzUUIBICXrr5OYfs2u2C,0.0,8,0.0607,-4.649,1,0.0496,99.012,4,https://api.spotify.com/v1/tracks/4AzzUUIBICXrr5OYfs2u2C,audio_features,spotify:track:4AzzUUIBICXrr5OYfs2u2C,0.769
Better Left Unsaid,Ariana Grande,0.0389,https://api.spotify.com/v1/audio-analysis/7v289GXTGa7BuLL6l1Y5ZA,0.577,212839,0.8,7v289GXTGa7BuLL6l1Y5ZA,0.000272,9,0.105,-3.942,1,0.0344,130.054,4,https://api.spotify.com/v1/tracks/7v289GXTGa7BuLL6l1Y5ZA,audio_features,spotify:track:7v289GXTGa7BuLL6l1Y5ZA,0.268
The Way - Spanglish Version (feat. Mac Miller),Ariana Grande,0.326,https://api.spotify.com/v1/audio-analysis/3HAQ4fEd3opmo09LJIHOX2,0.669,226839,0.87,3HAQ4fEd3opmo09LJIHOX2,0.0,5,0.0901,-2.614,0,0.195,82.64,4,https://api.spotify.com/v1/tracks/3HAQ4fEd3opmo09LJIHOX2,audio_features,spotify:track:3HAQ4fEd3opmo09LJIHOX2,0.837
Honeymoon Avenue - Live from London,Ariana Grande,0.0162,https://api.spotify.com/v1/audio-analysis/1ucNmUIwlCSNjla3a1qpfL,0.661,295545,0.718,1ucNmUIwlCSNjla3a1qpfL,0.0,11,0.129,-4.96,1,0.0438,124.895,4,https://api.spotify.com/v1/tracks/1ucNmUIwlCSNjla3a1qpfL,audio_features,spotify:track:1ucNmUIwlCSNjla3a1qpfL,0.215
Daydreamin' - Live from London,Ariana Grande,0.0848,https://api.spotify.com/v1/audio-analysis/63ahDGtV2EGSs6etOGrnkc,0.649,210301,0.683,63ahDGtV2EGSs6etOGrnkc,0.0,7,0.245,-3.792,1,0.0443,113.964,3,https://api.spotify.com/v1/tracks/63ahDGtV2EGSs6etOGrnkc,audio_features,spotify:track:63ahDGtV2EGSs6etOGrnkc,0.344
Baby I - Live from London,Ariana Grande,0.038,https://api.spotify.com/v1/audio-analysis/58aPrOUl9wFOoaBOgrWoBc,0.639,197305,0.721,58aPrOUl9wFOoaBOgrWoBc,0.0,1,0.365,-3.414,1,0.0782,102.065,4,https://api.spotify.com/v1/tracks/58aPrOUl9wFOoaBOgrWoBc,audio_features,spotify:track:58aPrOUl9wFOoaBOgrWoBc,0.538
Tattooed Heart - Live from London,Ariana Grande,0.135,https://api.spotify.com/v1/audio-analysis/5JVMTPWkg7U14ga4up1rSm,0.517,193999,0.451,5JVMTPWkg7U14ga4up1rSm,0.0,7,0.12,-4.871,1,0.0266,71.939,4,https://api.spotify.com/v1/tracks/5JVMTPWkg7U14ga4up1rSm,audio_features,spotify:track:5JVMTPWkg7U14ga4up1rSm,0.277
Right There - Live from London (feat. Big Sean),Ariana Grande,0.0306,https://api.spotify.com/v1/audio-analysis/5J9jzskSfbSF7sTCWyoF93,0.494,196927,0.75,5J9jzskSfbSF7sTCWyoF93,0.0,7,0.102,-4.068,1,0.174,106.367,5,https://api.spotify.com/v1/tracks/5J9jzskSfbSF7sTCWyoF93,audio_features,spotify:track:5J9jzskSfbSF7sTCWyoF93,0.36
The Way - Live from London (feat. Mac Miller),Ariana Grande,0.135,https://api.spotify.com/v1/audio-analysis/4VUp83ibStl36qC7UOxGkF,0.594,213695,0.869,4VUp83ibStl36qC7UOxGkF,0.0,5,0.0907,-3.213,0,0.0887,165.08,4,https://api.spotify.com/v1/tracks/4VUp83ibStl36qC7UOxGkF,audio_features,spotify:track:4VUp83ibStl36qC7UOxGkF,0.694
shut up,Ariana Grande,0.801,https://api.spotify.com/v1/audio-analysis/12sliObzVzbLbAlDb8eChf,0.499,157710,0.462,12sliObzVzbLbAlDb8eChf,0.0,0,0.0946,-5.308,1,0.0312,127.698,4,https://api.spotify.com/v1/tracks/12sliObzVzbLbAlDb8eChf,audio_features,spotify:track:12sliObzVzbLbAlDb8eChf,0.599
34+35,Ariana Grande,0.237,https://api.spotify.com/v1/audio-analysis/1hG4V53eR16jg7jVTNLOiX,0.83,173711,0.585,1hG4V53eR16jg7jVTNLOiX,0.0,0,0.248,-6.476,1,0.094,109.978,4,https://api.spotify.com/v1/tracks/1hG4V53eR16jg7jVTNLOiX,audio_features,spotify:track:1hG4V53eR16jg7jVTNLOiX,0.485
motive (with Doja Cat),Ariana Grande,0.0681,https://api.spotify.com/v1/audio-analysis/5VipERQ1ofCowecoFg2MVU,0.789,167990,0.742,5VipERQ1ofCowecoFg2MVU,0.0,10,0.166,-5.664,0,0.0652,116.965,4,https://api.spotify.com/v1/tracks/5VipERQ1ofCowecoFg2MVU,audio_features,spotify:track:5VipERQ1ofCowecoFg2MVU,0.661
just like magic,Ariana Grande,0.08,https://api.spotify.com/v1/audio-analysis/1N9hFgcgWYbGINUKjhvcK6,0.719,149900,0.607,1N9hFgcgWYbGINUKjhvcK6,0.0,8,0.125,-5.156,1,0.165,128.006,4,https://api.spotify.com/v1/tracks/1N9hFgcgWYbGINUKjhvcK6,audio_features,spotify:track:1N9hFgcgWYbGINUKjhvcK6,0.464
off the table (with The Weeknd),Ariana Grande,0.519,https://api.spotify.com/v1/audio-analysis/1qKdid2S9fZdSrzLaCcjcF,0.411,239949,0.522,1qKdid2S9fZdSrzLaCcjcF,0.0,0,0.398,-7.295,1,0.0981,88.332,1,https://api.spotify.com/v1/tracks/1qKdid2S9fZdSrzLaCcjcF,audio_features,spotify:track:1qKdid2S9fZdSrzLaCcjcF,0.382
six thirty,Ariana Grande,0.67,https://api.spotify.com/v1/audio-analysis/4rJWTThj9EWR6UqD1eVyge,0.739,183874,0.516,4rJWTThj9EWR6UqD1eVyge,0.0,0,0.151,-7.154,1,0.0539,120.109,4,https://api.spotify.com/v1/tracks/4rJWTThj9EWR6UqD1eVyge,audio_features,spotify:track:4rJWTThj9EWR6UqD1eVyge,0.434
safety net (feat. Ty Dolla $ign),Ariana Grande,0.0703,https://api.spotify.com/v1/audio-analysis/53Z8fbdVNus9Kiu7tWIBEC,0.552,208457,0.599,53Z8fbdVNus9Kiu7tWIBEC,0.0,1,0.0986,-5.75,0,0.0404,161.884,4,https://api.spotify.com/v1/tracks/53Z8fbdVNus9Kiu7tWIBEC,audio_features,spotify:track:53Z8fbdVNus9Kiu7tWIBEC,0.0916
my hair,Ariana Grande,0.0815,https://api.spotify.com/v1/audio-analysis/5Ds3yH73nMHgkmJxcxqPrr,0.686,158436,0.526,5Ds3yH73nMHgkmJxcxqPrr,7.75e-06,0,0.144,-6.842,1,0.0374,92.013,4,https://api.spotify.com/v1/tracks/5Ds3yH73nMHgkmJxcxqPrr,audio_features,spotify:track:5Ds3yH73nMHgkmJxcxqPrr,0.372
nasty,Ariana Grande,0.0814,https://api.spotify.com/v1/audio-analysis/7wcl0YJBQ0ygTUUaXLRM1g,0.772,200733,0.506,7wcl0YJBQ0ygTUUaXLRM1g,1.1e-05,6,0.182,-6.558,0,0.139,127.894,4,https://api.spotify.com/v1/tracks/7wcl0YJBQ0ygTUUaXLRM1g,audio_features,spotify:track:7wcl0YJBQ0ygTUUaXLRM1g,0.456
west side,Ariana Grande,0.186,https://api.spotify.com/v1/audio-analysis/7cFYqReKEigTxTm0bNE6YA,0.688,132279,0.455,7cFYqReKEigTxTm0bNE6YA,0.0,11,0.0794,-8.632,0,0.199,87.865,4,https://api.spotify.com/v1/tracks/7cFYqReKEigTxTm0bNE6YA,audio_features,spotify:track:7cFYqReKEigTxTm0bNE6YA,0.557
love language,Ariana Grande,0.0686,https://api.spotify.com/v1/audio-analysis/4iIrJ94pkIEnGZWv1MhIRC,0.688,179861,0.573,4iIrJ94pkIEnGZWv1MhIRC,0.0,10,0.0749,-5.03,0,0.208,110.034,4,https://api.spotify.com/v1/tracks/4iIrJ94pkIEnGZWv1MhIRC,audio_features,spotify:track:4iIrJ94pkIEnGZWv1MhIRC,0.553
positions,Ariana Grande,0.468,https://api.spotify.com/v1/audio-analysis/3DFnLXa69NVlOjbhTbXXNn,0.737,172325,0.802,3DFnLXa69NVlOjbhTbXXNn,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,https://api.spotify.com/v1/tracks/3DFnLXa69NVlOjbhTbXXNn,audio_features,spotify:track:3DFnLXa69NVlOjbhTbXXNn,0.682
obvious,Ariana Grande,0.0967,https://api.spotify.com/v1/audio-analysis/65OEcDb4M3mAvEpSdXi6Lv,0.624,146959,0.672,65OEcDb4M3mAvEpSdXi6Lv,0.0,0,0.155,-5.334,1,0.106,159.852,4,https://api.spotify.com/v1/tracks/65OEcDb4M3mAvEpSdXi6Lv,audio_features,spotify:track:65OEcDb4M3mAvEpSdXi6Lv,0.26
pov,Ariana Grande,0.36,https://api.spotify.com/v1/audio-analysis/3RP1eXaK8f4rwqY9fRKVRF,0.487,201882,0.534,3RP1eXaK8f4rwqY9fRKVRF,0.0,0,0.1,-5.664,0,0.0555,131.798,4,https://api.spotify.com/v1/tracks/3RP1eXaK8f4rwqY9fRKVRF,audio_features,spotify:track:3RP1eXaK8f4rwqY9fRKVRF,0.173
someone like u - interlude,Ariana Grande,0.175,https://api.spotify.com/v1/audio-analysis/3Os1431WclqyKxWqMzRESE,0.639,76742,0.544,3Os1431WclqyKxWqMzRESE,2.44e-05,5,0.14,-9.5,0,0.0383,118.158,4,https://api.spotify.com/v1/tracks/3Os1431WclqyKxWqMzRESE,audio_features,spotify:track:3Os1431WclqyKxWqMzRESE,0.179
test drive,Ariana Grande,0.0251,https://api.spotify.com/v1/audio-analysis/3eZYOQO4UzKrUDYDghtnFw,0.698,122174,0.708,3eZYOQO4UzKrUDYDghtnFw,0.0,9,0.124,-4.943,0,0.0454,115.036,4,https://api.spotify.com/v1/tracks/3eZYOQO4UzKrUDYDghtnFw,audio_features,spotify:track:3eZYOQO4UzKrUDYDghtnFw,0.322
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,0.211,https://api.spotify.com/v1/audio-analysis/2sQH02O2HBCPJCztBrCWNa,0.659,182438,0.662,2sQH02O2HBCPJCztBrCWNa,0.0,5,0.228,-5.768,1,0.434,109.957,4,https://api.spotify.com/v1/tracks/2sQH02O2HBCPJCztBrCWNa,audio_features,spotify:track:2sQH02O2HBCPJCztBrCWNa,0.704
worst behavior,Ariana Grande,0.37,https://api.spotify.com/v1/audio-analysis/6KIKaWKE9wV6mLjho3w61y,0.726,124282,0.667,6KIKaWKE9wV6mLjho3w61y,0.0,5,0.118,-5.956,0,0.0617,100.053,4,https://api.spotify.com/v1/tracks/6KIKaWKE9wV6mLjho3w61y,audio_features,spotify:track:6KIKaWKE9wV6mLjho3w61y,0.434
main thing,Ariana Grande,0.317,https://api.spotify.com/v1/audio-analysis/63WsFFnQ8CL941iZBELYsX,0.734,129080,0.475,63WsFFnQ8CL941iZBELYsX,1.41e-06,9,0.113,-7.77,1,0.0403,134.119,4,https://api.spotify.com/v1/tracks/63WsFFnQ8CL941iZBELYsX,audio_features,spotify:track:63WsFFnQ8CL941iZBELYsX,0.217
shut up,Ariana Grande,0.801,https://api.spotify.com/v1/audio-analysis/3ko9jEHNt4O5fjKN65ULJp,0.499,157710,0.462,3ko9jEHNt4O5fjKN65ULJp,0.0,0,0.0946,-5.308,1,0.0312,127.698,4,https://api.spotify.com/v1/tracks/3ko9jEHNt4O5fjKN65ULJp,audio_features,spotify:track:3ko9jEHNt4O5fjKN65ULJp,0.599
34+35,Ariana Grande,0.237,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,0.83,173711,0.585,6Im9k8u9iIzKMrmV7BWtlF,0.0,0,0.248,-6.476,1,0.094,109.978,4,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,audio_features,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,0.485
motive (with Doja Cat),Ariana Grande,0.0681,https://api.spotify.com/v1/audio-analysis/5GkQIP5mWPi4KZLLXeuFTT,0.789,167990,0.742,5GkQIP5mWPi4KZLLXeuFTT,0.0,10,0.166,-5.664,0,0.0652,116.965,4,https://api.spotify.com/v1/tracks/5GkQIP5mWPi4KZLLXeuFTT,audio_features,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,0.661
just like magic,Ariana Grande,0.08,https://api.spotify.com/v1/audio-analysis/7Dx9Z6Aon1qPS2N0rHSWTe,0.719,149900,0.607,7Dx9Z6Aon1qPS2N0rHSWTe,0.0,8,0.125,-5.156,1,0.165,128.006,4,https://api.spotify.com/v1/tracks/7Dx9Z6Aon1qPS2N0rHSWTe,audio_features,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,0.464
off the table (with The Weeknd),Ariana Grande,0.519,https://api.spotify.com/v1/audio-analysis/7E1jVNoWuemqUryI4FxsVD,0.411,239949,0.522,7E1jVNoWuemqUryI4FxsVD,0.0,0,0.398,-7.295,1,0.0981,88.332,1,https://api.spotify.com/v1/tracks/7E1jVNoWuemqUryI4FxsVD,audio_features,spotify:track:7E1jVNoWuemqUryI4FxsVD,0.382
six thirty,Ariana Grande,0.67,https://api.spotify.com/v1/audio-analysis/2IKJtXeR5UsaUjZB46fTOK,0.739,183874,0.516,2IKJtXeR5UsaUjZB46fTOK,0.0,0,0.151,-7.154,1,0.0539,120.109,4,https://api.spotify.com/v1/tracks/2IKJtXeR5UsaUjZB46fTOK,audio_features,spotify:track:2IKJtXeR5UsaUjZB46fTOK,0.434
safety net (feat. Ty Dolla $ign),Ariana Grande,0.0703,https://api.spotify.com/v1/audio-analysis/14gkWVFMwdxBMyqBw1wmIg,0.552,208457,0.599,14gkWVFMwdxBMyqBw1wmIg,0.0,1,0.0986,-5.75,0,0.0404,161.884,4,https://api.spotify.com/v1/tracks/14gkWVFMwdxBMyqBw1wmIg,audio_features,spotify:track:14gkWVFMwdxBMyqBw1wmIg,0.0916
my hair,Ariana Grande,0.0815,https://api.spotify.com/v1/audio-analysis/6u7gmPOz7pzzaeR9xSBpsR,0.686,158436,0.526,6u7gmPOz7pzzaeR9xSBpsR,7.75e-06,0,0.144,-6.842,1,0.0374,92.013,4,https://api.spotify.com/v1/tracks/6u7gmPOz7pzzaeR9xSBpsR,audio_features,spotify:track:6u7gmPOz7pzzaeR9xSBpsR,0.372
nasty,Ariana Grande,0.0814,https://api.spotify.com/v1/audio-analysis/0sci7ppTZFm4mjcH3nu8yO,0.772,200733,0.506,0sci7ppTZFm4mjcH3nu8yO,1.1e-05,6,0.182,-6.558,0,0.139,127.894,4,https://api.spotify.com/v1/tracks/0sci7ppTZFm4mjcH3nu8yO,audio_features,spotify:track:0sci7ppTZFm4mjcH3nu8yO,0.456
